,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,Sentiment,Score
0,gp:AOqpTOE1Gl_RZYsB8_sGvmKtZRerq6xPPed8DJ51wWkhcGXKjuc7AZVk4IoW6X4oc-qwNkDXTqMtRarxY7mvX68,Rock singh Rock singh,https://play-lh.googleusercontent.com/a/AATXAJx6CjYgZgH9ph1d5i_5jQ7iWYWa1qBv7Q3TIwPR=mo,Best app,5,0,,2022-04-02 03:02:51,,,POSITIVE,0.999686598777771
1,gp:AOqpTOHHE0Xeg5Q7Jm7rohx8L75NQlw3eZ8oW34h6OAyoz6EaiKyqjSA21HyGsvCAfeIxzJsInme8s_szEhoceE,sachindra kumar pradhan,https://play-lh.googleusercontent.com/a-/AOh14GgqCAGBTBDJcCtcZOzx9Qs2JZVx00QKg-M5HnohRA,beutiful,4,0,22.19.0.300,2022-04-02 03:02:00,,,NEGATIVE,0.915655255317688
2,gp:AOqpTOFQQizEkSz7DQwLDz3e2FyYhMQW0SMDn5s8Z2-omsV6OtvAcotji8WdvVFgHX3OsaTVB2lDJPa_Yaa-E-o,Puja subba Pihuu,https://play-lh.googleusercontent.com/a-/AOh14GgfLd6OUvWIT3NwWwxAZGVR0ZqlIcftOfhkjYOj,Very gud app 🥰🥰🥰🥰,5,0,20.6.0.300,2022-04-02 03:01:01,,,NEGATIVE,0.9561402201652527
3,gp:AOqpTOGoOcbTZpSUkiZkeytLcGM_xUo104psqoz_rJbafjj2xpcPVwDQLLGzNn9MFk2-u1AnSNiGhSOW6auZq_M,Tanishq Patil,https://play-lh.googleusercontent.com/a/AATXAJyS-358A775yb_gToz_VJfRin1zBGkIRAaUncGd=mo,Fantastic🤘😝 thanks,5,0,,2022-04-02 02:58:30,,,POSITIVE,0.9996494054794312
4,gp:AOqpTOEkrz39PmTBs0KyarZ6PXAx631TZmwQlPF7ISMbkqlL8BfHATb3Em_d3iG1y8YSrEedoDIPnM9egNGKQgU,vinod pawar,https://play-lh.googleusercontent.com/a/AATXAJyEj9EFhmZBwEjd2MggzljJZuANEDcxwLsy4SIa=mo,Excellent,5,0,,2022-04-02 02:58:23,,,POSITIVE,0.9998434782028198
5,gp:AOqpTOEv-BRWPKnfdfu_rB2BudqUImHJBDeI-kXSSScqXaZGk8VgyZ1yXE2V3jO7K-HMAvJSWlG8DctqAGiYwAM,AbdurRahman Firoz,https://play-lh.googleusercontent.com/a-/AOh14Gh_HlU5VvrlLwuRIK-I50tbRgcgvGpqea_3qLZL,Unbeatable,5,0,,2022-04-02 02:55:56,,,NEGATIVE,0.9878597855567932
6,gp:AOqpTOFbJCe98yyeQUMB77XeI7X0S0sLFrHPhPBJKwQZcogikFjeAFHLvSS7XG7YNdZttMjeCzgyBqf2oSEuXwc,Hello Bomdila,https://play-lh.googleusercontent.com/a-/AOh14GgePki05yhlZ4QwJs8BduJBg0Gxd9YO9BZVFTYX,Don't buy any product from Amazon there is option of refund but they don't refund your products,1,0,24.6.0.300,2022-04-02 02:50:48,,,NEGATIVE,0.9910330176353455
7,gp:AOqpTOEjm0z7qbiW5BZI_KDfiEuNIAvolU2SPh8dtXYnR75DoSUogkRaxzXqZn4JJ51esIuaV7yJD6AkwDjvcsc,Shivam Vishwakarma,https://play-lh.googleusercontent.com/a/AATXAJy-Ouj_ckN8hhMTNSe3IWze9pVKeHqXb25ab6_3=mo,Good app,4,0,18.5.2.350,2022-04-02 02:50:38,,,POSITIVE,0.9998493194580078
8,gp:AOqpTOE2HLQi5y2gDCGd9SyXmkf7QlKb9aoeq9FpNwbJK4zvrutQGf_iLxkR56F9nxXEH-Cz9xaUw7kVAK_F5d0,Gunti Thirupathi,https://play-lh.googleusercontent.com/a/AATXAJyaSTMeDi2ZnptZrhWNCADl7WtZRrD5stUGeF2R=mo,Toopu,5,0,20.22.0.300,2022-04-02 02:49:58,,,NEGATIVE,0.9944005608558655
9,gp:AOqpTOGewjWm1UZuPgsJphK51EZeVpJe3O6mjG5CzSSjatSJbAIRa88Ea3mbxWPYAL-hmxB4f9pzRQSOJpi4PYY,vikrant sherikar,https://play-lh.googleusercontent.com/a-/AOh14GjHQc8m5cygMqQT-AoOfBG56jjPcCaFAql1Djkwlv4,"I can't even exchange my phone , whenever I try to operate exchange option app crashes and restarts itself ,wt a wrost app and its interface also looks like trash",1,0,24.6.0.300,2022-04-02 02:49:46,,,NEGATIVE,0.999824583530426
10,gp:AOqpTOGdaWphlQT5z4gbhU8xgUiY02uS8Cu2bL-CeyQY7NGSYHuJXL2J8IEMkMysdwhLByecWaiH8IzCH5cDLYk,vineeth basani,https://play-lh.googleusercontent.com/a/AATXAJyCQiBPOK1QtjyldP978aJKiBRlpV4zb9xYDQne=mo,This app is Very very slow,1,0,24.5.0.300,2022-04-02 02:49:16,,,NEGATIVE,0.9997503161430359
11,gp:AOqpTOEWFDCenoNVSRJaa1pZYjcde1KJ7N_FZaHaO0ylqlEZTUAAlrLlH-vzRGER7o_ad7St5L9eqXnAQyED4fU,KULDEEP singh,https://play-lh.googleusercontent.com/a/AATXAJzlOK8ec3vggxr2dX7I1rL7L5qpni_5YMiknyG_=mo,I order twice on someone's specific day as gift purpose but at time it its team said your parcel not be delivered due to some technical issues,1,0,,2022-04-02 02:46:32,,,NEGATIVE,0.9990511536598206
12,gp:AOqpTOG3-BVxXNFjWpp1m-zAK1-K_aAUZW5jJ9M5tX6OccQ2R627bu83Wwjw0alG5V7LwiHX-Rg0p_2yTZWPaz8,1SG18EC002 Aishwarya Katare,https://play-lh.googleusercontent.com/a/AATXAJzeyCia1pluN0hX5YUz9dXwJHd8mXxHgIS1IGag=mo,"This recently updated version doesn't work properly. The transaction is always failed. If contacted to bank, there is no problem with them. Please fix it asap",1,7,24.6.0.300,2022-04-02 02:44:31,,,NEGATIVE,0.9993959665298462
13,gp:AOqpTOFfyGm8ICBXJ6bh7qR2AqvZCKkMZNGlv3chveigB0EkqhGAsfwm7RrPGq9ZSv8uThSHCP4FnI19uhRfocs,Rouf Sayyed,https://play-lh.googleusercontent.com/a-/AOh14Gja4dHXEgBMw8cdCsdFu2XB8OAxf-CY4DqeR8yN9w,Ok,4,0,16.3.0.300,2022-04-02 02:42:22,,,POSITIVE,0.9997851252555847
14,gp:AOqpTOHBghCP2pHSvt-sFLpQjFgSiWhInlMJQmpFeWx6udIybdawEnzN45SInd7HRRQDbyl1ZJ5STDPVR-o9k4c,Harsha pradha s,https://play-lh.googleusercontent.com/a-/AOh14GiCM3H94rWu84bFC0rwj7ZirSd8J3uImtMAkDYU,It's good,5,0,,2022-04-02 02:41:19,,,POSITIVE,0.9998360872268677
15,gp:AOqpTOHyE2kpayb8rjE2mjUDHHCwykvfwvxk-AWSFocTsiGtd8_muTyAyh1o0wLGA0VGD3bFCjzpJuuUm865_Kc,Puja Pathak,https://play-lh.googleusercontent.com/a-/AOh14Gh_xKFrSbok0N-CJ2HmMVd7j0vMka1ziatrb6seJg,Por,1,0,24.6.0.300,2022-04-02 02:30:02,,,POSITIVE,0.988295316696167
16,gp:AOqpTOGosIEO1AFZVnSpC5M4ngpaH7yP4TDL6QN0srLfvNEhPVwbOs7ot9SzetQtHc2LLjWsJLpmQS0EdKSHAE0,Mansi Bhardwaj,https://play-lh.googleusercontent.com/a/AATXAJyWBIYol0UYx439RTg1DUX8_9XYMiSqkbNt8g8r=mo,Amazon pay is not working properly. Not able to do transactions.,3,0,24.6.0.300,2022-04-02 02:28:05,,,NEGATIVE,0.9998059868812561
